chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
512,2,0,0,2048,200,0,200,0,0,3:38:30.764221
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
512,2,0,0,2048,200,0,200,0,0,3:38:30.764221
1024,2,0,0,128,200,0,200,0,0,0:14:11.251671
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
512,2,0,0,2048,200,0,200,0,0,3:38:30.764221
1024,2,0,0,128,200,0,200,0,0,0:14:11.251671
1024,2,0,0,256,200,0,200,0,0,0:27:51.038675
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
512,2,0,0,2048,200,0,200,0,0,3:38:30.764221
1024,2,0,0,128,200,0,200,0,0,0:14:11.251671
1024,2,0,0,256,200,0,200,0,0,0:27:51.038675
1024,2,0,0,512,200,0,200,0,0,0:56:00.725886
128,2,0,0,256,200,0,200,0,0,0:28:24.819714
128,2,0,0,512,200,0,200,0,0,0:57:10.492975
128,2,0,0,1024,200,0,200,0,0,1:50:49.648975
128,2,0,0,2048,200,0,200,0,0,3:38:44.902817
256,2,0,0,128,200,0,200,0,0,0:14:14.296237
256,2,0,0,256,200,0,200,0,0,0:28:08.907887
256,2,0,0,512,200,0,200,0,0,0:55:45.523764
256,2,0,0,1024,200,0,200,0,0,1:50:23.059457
256,2,0,0,2048,200,0,200,0,0,3:39:27.295162
512,2,0,0,128,200,0,200,0,0,0:14:26.999120
512,2,0,0,256,200,0,200,0,0,0:28:26.488048
512,2,0,0,512,200,0,200,0,0,0:56:00.459493
512,2,0,0,1024,200,0,200,0,0,1:51:31.192576
512,2,0,0,2048,200,0,200,0,0,3:38:30.764221
1024,2,0,0,128,200,0,200,0,0,0:14:11.251671
1024,2,0,0,256,200,0,200,0,0,0:27:51.038675
1024,2,0,0,512,200,0,200,0,0,0:56:00.725886
1024,2,0,0,1024,200,0,200,0,0,1:51:09.982336
1024,2,0,0,2048,200,0,200,0,0,3:45:04.840364
